Timestamp: 1764276893.73, FPS: 39.85
Timestamp: 1764276906.49, FPS: 39.62
Timestamp: 1764276918.98, FPS: 42.77
Timestamp: 1764276932.10, FPS: 36.67
Timestamp: 1764276944.88, FPS: 39.07
Timestamp: 1764276958.08, FPS: 36.36
Timestamp: 1764277277.42, FPS: 39.40
Timestamp: 1764277291.08, FPS: 35.35
Timestamp: 1764277304.69, FPS: 35.97
Timestamp: 1764277317.99, FPS: 36.66
Timestamp: 1764277331.13, FPS: 38.98
Timestamp: 1764277344.02, FPS: 39.43
Timestamp: 1764277356.25, FPS: 41.15
Timestamp: 1764277368.57, FPS: 42.64
Timestamp: 1764277381.15, FPS: 40.23
Timestamp: 1764277393.61, FPS: 37.83
Timestamp: 1764277405.97, FPS: 41.17
Timestamp: 1764277418.39, FPS: 41.58
Timestamp: 1764277638.67, FPS: 41.51
Timestamp: 1764277651.06, FPS: 40.53
Timestamp: 1764277663.13, FPS: 42.06
Timestamp: 1764277675.11, FPS: 43.64
Timestamp: 1764277687.51, FPS: 43.18
Timestamp: 1764277699.88, FPS: 44.83
Timestamp: 1764277712.09, FPS: 46.49
Timestamp: 1764277724.16, FPS: 41.11
Timestamp: 1764277736.31, FPS: 42.46
Timestamp: 1764277748.41, FPS: 45.41
Timestamp: 1764277760.69, FPS: 42.26
Timestamp: 1764277772.59, FPS: 43.25
Timestamp: 1764277784.83, FPS: 43.41
Timestamp: 1764277797.80, FPS: 39.96
Timestamp: 1764277809.97, FPS: 43.71
Timestamp: 1764277821.84, FPS: 45.15
Timestamp: 1764277833.92, FPS: 43.10
Timestamp: 1764277846.20, FPS: 41.15
Timestamp: 1764277858.56, FPS: 44.83
Timestamp: 1764277870.31, FPS: 48.80
Timestamp: 1764277881.71, FPS: 50.08
Timestamp: 1764277894.61, FPS: 42.55
Timestamp: 1764277908.77, FPS: 33.52
Timestamp: 1764277923.93, FPS: 30.15
Timestamp: 1764277938.72, FPS: 31.75
Timestamp: 1764277951.98, FPS: 38.01
Timestamp: 1764277963.67, FPS: 44.40
Timestamp: 1764277976.28, FPS: 42.23
Timestamp: 1764277988.43, FPS: 43.72
Timestamp: 1764278001.18, FPS: 38.96
Timestamp: 1764278014.08, FPS: 38.58
Timestamp: 1764278027.50, FPS: 40.74
Timestamp: 1764278040.18, FPS: 42.87
Timestamp: 1764278053.94, FPS: 32.71
Timestamp: 1764278068.25, FPS: 34.28
Timestamp: 1764278082.32, FPS: 35.17
Timestamp: 1764278096.99, FPS: 32.70
Timestamp: 1764278111.38, FPS: 34.35
Timestamp: 1764278125.23, FPS: 36.07
Timestamp: 1764278138.82, FPS: 39.28
Timestamp: 1764278152.38, FPS: 38.00
Timestamp: 1764278165.36, FPS: 37.30
Timestamp: 1764278180.03, FPS: 32.15
Timestamp: 1764278194.14, FPS: 29.21
Timestamp: 1764278207.53, FPS: 36.31
Timestamp: 1764278220.46, FPS: 37.57
Timestamp: 1764278233.17, FPS: 39.34
Timestamp: 1764278245.29, FPS: 43.91
Timestamp: 1764278257.85, FPS: 39.35
Timestamp: 1764278270.84, FPS: 38.85
Timestamp: 1764278283.50, FPS: 43.25
Timestamp: 1764278296.74, FPS: 35.35
Timestamp: 1764278310.47, FPS: 34.51
Timestamp: 1764278323.05, FPS: 39.05
Timestamp: 1764278335.96, FPS: 41.77
Timestamp: 1764278348.68, FPS: 40.63
Timestamp: 1764278362.04, FPS: 37.44
Timestamp: 1764278374.96, FPS: 40.73
Timestamp: 1764278387.28, FPS: 39.38
Timestamp: 1764278398.66, FPS: 51.85
Timestamp: 1764278409.92, FPS: 51.56
Timestamp: 1764278421.43, FPS: 46.72
Timestamp: 1764278526.03, FPS: 34.11
Timestamp: 1764278539.81, FPS: 34.36
Timestamp: 1764278553.24, FPS: 34.81
Timestamp: 1764278567.09, FPS: 38.35
Timestamp: 1764278580.69, FPS: 36.67
Timestamp: 1764278594.39, FPS: 39.70
Timestamp: 1764278607.97, FPS: 39.36
Timestamp: 1764278621.58, FPS: 39.72
Timestamp: 1764278633.84, FPS: 46.48
Timestamp: 1764278645.83, FPS: 44.70
Timestamp: 1764278657.99, FPS: 47.06
Timestamp: 1764278670.13, FPS: 50.29
Timestamp: 1764278682.45, FPS: 46.83
Timestamp: 1764278694.64, FPS: 45.63
Timestamp: 1764278707.02, FPS: 40.45
Timestamp: 1764278719.40, FPS: 46.80
Timestamp: 1764278731.70, FPS: 44.47
Timestamp: 1764278744.51, FPS: 38.87
Timestamp: 1764278757.69, FPS: 38.24
Timestamp: 1764278770.18, FPS: 45.46
Timestamp: 1764278782.79, FPS: 43.60
Timestamp: 1764278794.95, FPS: 48.07
Timestamp: 1764278807.62, FPS: 43.95
Timestamp: 1764278821.74, FPS: 32.10
Timestamp: 1764278835.61, FPS: 35.59
Timestamp: 1764278849.44, FPS: 36.37
Timestamp: 1764278864.24, FPS: 30.21
Timestamp: 1764278878.01, FPS: 32.64
Timestamp: 1764278891.40, FPS: 42.02
Timestamp: 1764278904.22, FPS: 47.82
Timestamp: 1764278916.85, FPS: 42.57
Timestamp: 1764278929.42, FPS: 43.56
Timestamp: 1764278942.61, FPS: 42.55
Timestamp: 1764278955.46, FPS: 39.16
Timestamp: 1764278967.80, FPS: 43.98
Timestamp: 1764278980.68, FPS: 42.64
Timestamp: 1764278992.96, FPS: 45.78
Timestamp: 1764279005.56, FPS: 44.04
Timestamp: 1764279018.07, FPS: 45.96
Timestamp: 1764279030.14, FPS: 47.53
Timestamp: 1764279042.34, FPS: 45.00
Timestamp: 1764279054.37, FPS: 44.14
Timestamp: 1764279066.64, FPS: 47.58
Timestamp: 1764279078.89, FPS: 42.86
Timestamp: 1764279091.28, FPS: 46.81
Timestamp: 1764279105.22, FPS: 34.19
Timestamp: 1764279117.81, FPS: 42.19
Timestamp: 1764279130.57, FPS: 41.79
Timestamp: 1764279143.37, FPS: 40.89
Timestamp: 1764279156.89, FPS: 37.22
Timestamp: 1764279170.61, FPS: 37.10
Timestamp: 1764279183.60, FPS: 44.29
Timestamp: 1764279196.86, FPS: 40.12
Timestamp: 1764279210.11, FPS: 41.10
Timestamp: 1764279222.79, FPS: 45.84
Timestamp: 1764279235.72, FPS: 41.59
Timestamp: 1764279248.10, FPS: 46.71
Timestamp: 1764279260.09, FPS: 49.02
Timestamp: 1764279272.47, FPS: 41.92
Timestamp: 1764279285.50, FPS: 41.10
Timestamp: 1764279298.33, FPS: 41.38
Timestamp: 1764279310.83, FPS: 44.81
Timestamp: 1764279323.87, FPS: 43.43
Timestamp: 1764279336.92, FPS: 40.56
Timestamp: 1764279349.98, FPS: 41.84
Timestamp: 1764279362.79, FPS: 44.20
Timestamp: 1764279375.49, FPS: 41.89
Timestamp: 1764279388.68, FPS: 42.65
Timestamp: 1764279401.73, FPS: 38.96
Timestamp: 1764279414.73, FPS: 44.90
Timestamp: 1764279427.69, FPS: 39.88
Timestamp: 1764279440.30, FPS: 41.83
Timestamp: 1764279452.76, FPS: 42.20
Timestamp: 1764279465.45, FPS: 41.79
Timestamp: 1764279477.96, FPS: 43.89
Timestamp: 1764279490.39, FPS: 44.97
Timestamp: 1764279503.56, FPS: 42.86
Timestamp: 1764279982.30, FPS: 47.32
Timestamp: 1764279995.16, FPS: 48.98
Timestamp: 1764280009.21, FPS: 38.77
Timestamp: 1764280023.14, FPS: 39.83
Timestamp: 1764280037.19, FPS: 42.71
Timestamp: 1764280050.19, FPS: 47.95
Timestamp: 1764280063.50, FPS: 42.91
Timestamp: 1764280076.18, FPS: 49.52
Timestamp: 1764280088.65, FPS: 51.98
Timestamp: 1764280101.42, FPS: 46.61
Timestamp: 1764280114.07, FPS: 45.23
Timestamp: 1764280126.55, FPS: 47.31
Timestamp: 1764280139.46, FPS: 48.22
Timestamp: 1764280152.33, FPS: 46.28
Timestamp: 1764280165.32, FPS: 46.81
Timestamp: 1764280178.24, FPS: 49.19
Timestamp: 1764280190.91, FPS: 51.30
Timestamp: 1764280204.49, FPS: 39.66
Timestamp: 1764280217.50, FPS: 47.09
Timestamp: 1764280230.69, FPS: 45.21
Timestamp: 1764280243.56, FPS: 48.06
Timestamp: 1764280256.15, FPS: 51.66
Timestamp: 1764280269.72, FPS: 45.36
Timestamp: 1764280282.85, FPS: 49.55
Timestamp: 1764280295.91, FPS: 53.69
Timestamp: 1764280308.63, FPS: 51.02
Timestamp: 1764280321.32, FPS: 49.53
Timestamp: 1764280334.07, FPS: 46.37
Timestamp: 1764280346.91, FPS: 47.44
Timestamp: 1764281244.64, FPS: 38.02
Timestamp: 1764282030.52, FPS: 39.09
Timestamp: 1764282045.40, FPS: 37.82
Timestamp: 1764282060.32, FPS: 39.60
Timestamp: 1764282073.57, FPS: 46.63
Timestamp: 1764282086.80, FPS: 46.65
Timestamp: 1764282100.23, FPS: 45.01
Timestamp: 1764282113.61, FPS: 45.84
Timestamp: 1764282510.25, FPS: 41.89
Timestamp: 1764282524.61, FPS: 38.09
Timestamp: 1764282540.11, FPS: 34.48
Timestamp: 1764282555.81, FPS: 35.81
Timestamp: 1764282570.42, FPS: 40.67
Timestamp: 1764282584.72, FPS: 39.45
Timestamp: 1764282599.50, FPS: 37.68
Timestamp: 1764282614.21, FPS: 38.24
Timestamp: 1764282629.35, FPS: 37.52
Timestamp: 1764282644.04, FPS: 38.83
Timestamp: 1764282657.85, FPS: 39.30
Timestamp: 1764282673.12, FPS: 35.42
Timestamp: 1764284169.18, FPS: 57.19
Timestamp: 1764284313.23, FPS: 59.01
Timestamp: 1764284543.41, FPS: 38.06
Timestamp: 1764284557.08, FPS: 38.63
Timestamp: 1764284570.44, FPS: 37.82
Timestamp: 1764284583.89, FPS: 37.76
Timestamp: 1764284597.12, FPS: 45.46
Timestamp: 1764284610.60, FPS: 42.59
Timestamp: 1764284623.65, FPS: 39.22
Timestamp: 1764284636.42, FPS: 46.14
Timestamp: 1764284648.89, FPS: 46.61
Timestamp: 1764284661.42, FPS: 45.16
Timestamp: 1764284673.91, FPS: 46.68
Timestamp: 1764284686.45, FPS: 50.55
Timestamp: 1764284699.52, FPS: 47.49
Timestamp: 1764284712.38, FPS: 42.23
Timestamp: 1764284724.94, FPS: 48.27
Timestamp: 1764284737.63, FPS: 43.48
Timestamp: 1764285135.22, FPS: 42.50
Timestamp: 1764285403.90, FPS: 46.38
Timestamp: 1764285416.82, FPS: 40.73
Timestamp: 1764285430.00, FPS: 41.11
Timestamp: 1764285442.71, FPS: 40.49
Timestamp: 1764285455.87, FPS: 45.84
Timestamp: 1764285468.82, FPS: 42.57
Timestamp: 1764285481.90, FPS: 42.13
Timestamp: 1764285495.16, FPS: 45.15
Timestamp: 1764285508.26, FPS: 40.62
Timestamp: 1764285521.35, FPS: 47.53
Timestamp: 1764285534.59, FPS: 42.09
Timestamp: 1764285547.85, FPS: 49.18
Timestamp: 1764285561.33, FPS: 40.55
Timestamp: 1764285575.04, FPS: 43.48
Timestamp: 1764285588.62, FPS: 44.02
Timestamp: 1764285602.25, FPS: 41.81
Timestamp: 1764285615.77, FPS: 42.30
Timestamp: 1764285682.71, FPS: 42.04
Timestamp: 1764285695.77, FPS: 45.06
Timestamp: 1764285708.45, FPS: 44.97
Timestamp: 1764285721.39, FPS: 41.63
Timestamp: 1764285734.22, FPS: 42.41
Timestamp: 1764285747.11, FPS: 47.12
Timestamp: 1764285760.05, FPS: 43.04
